"com","id_noeud","POPULATION"
"75105","197205",60273
"75115","199536",237120
"75120","214194",194771
"75103","202015",35666
"75119","209998",185953
"75118","217072",199519
"75109","198717",59427
"75108","212196",39175
"75107","169515",56325
"75106","207102",43479
"75104","38890",27335
"75102","206442",21741
"75101","38914",17022
"75110","214388",92494
"75117","229237",170077
"75116","142369",166552
"75114","213091",140799
"75113","213755",183713
"75111","202202",153461
"2A041","231863",2961
"2A163","29998",486
"2A114","91",1462
"2A288","68841",1123
"78522","118885",890
"2A127","89119",80
"2A115","191762",144
"2A249","93739",3734
"2A247","97992",11354
"2A018","107466",142
"63057","210785",250
"2A284","49463",347
"2A071","51016",185
"2A191","187860",112
"2A308","71199",444
"2A158","158662",30
"2A011","228063",46
"2A142","135591",721
"2A300","187858",1079
"2A232","49468",288
"2A160","178402",235
"2A024","129239",184
"2A285","86397",62
"2A362","161815",2553
"2A254","103789",198
"2A091","49470",168
"2A360","116131",136
"2A021","185429",78
"2A186","185430",239
"2A004","216653",67507
"2A085","193010",1323
"2A056","130757",94
"2A253","11986",53
"2A312","130759",460
"2A351","169603",351
"2A006","38205",3108
"2A001","38456",2955
"2A103","127659",1966
"2A099","175991",288
"2B366","131792",97
"2B342","43959",2413
"2A089","172809",134
"2A268","172808",59
"2A295","114006",75
"2A270","83829",326
"2A017","119979",1636
"2A323","228234",326
"2A209","227429",1806
"2A330","45039",477
"2A031","153316",546
"2B277","104640",316
"78548","167111",477
"2B365","12734",148
"2B123","43921",3970
"2A022","4308",88
"2A070","142071",368
"2A324","146650",386
"2B236","57206",177
"66091","226629",47
"66061","231066",108
"2A259","107607",53
"2A348","8044",889
"2A027","88551",40
"22182","101258",3301
"2B124","175995",222
"03188","31576",219
"66220","139052",45
"66132","28594",427
"66120","138257",69
"66206","142314",111
"2B009","43919",2214
"66181","5390",141
"62101","87277",145
"66150","142305",1075
"2A154","133672",104
"2A258","12876",60
"2B354","24796",475
"2B229","17087",247
"66095","62068",424
"66218","90612",349
"37266","199826",6098
"66005","173153",714
"66072","30683",424
"66067","201764",619
"66167","52578",1068
"66100","30696",168
"66142","165255",54
"66102","225756",32
"66116","57064",188
"66060","185359",246
"66009","193944",2687
"66113","214743",185
"66160","230470",1297
"66049","193437",7663
"66137","225038",583
"66063","45612",259
"66106","191342",2673
"66048","50977",1378
"2A108","187418",203
"2B074","24809",350
"2B315","169781",274
"2B341","3424",763
"2B238","80968",198
"2B260","24813",154
"2B105","148531",106
"2B012","51199",60
"2B356","215577",137
"66146","90603",124
"66064","191961",443
"66027","179662",684
"86171","219786",456
"66192","226898",93
"66098","221664",234
"66080","110622",131
"66124","173155",1877
"66125","101103",388
"66209","203068",32
"66036","140719",46
"66123","228215",158
"66197","137704",46
"66166","36734",369
"66018","191382",79
"66126","191346",324
"66068","170802",121
"66178","191401",2055
"66225","26010",1545
"64035","12158",2095
"86112","67719",1161
"14514","84780",4534
"2A203","100830",102
"2B047","187415",292
"2B073","184125",99
"2B096","77863",7332
"2B007","187414",212
"2B147","184075",124
"2B045","122797",59
"2B292","21874",77
"2B157","36981",26
"2B213","162333",60
"2B216","135246",17
"2B155","234607",40
"2B161","162332",80
"2B293","41628",244
"2B088","184777",205
"66191","98837",28
"63441","42751",209
"66128","133272",13
"66105","84206",275
"66193","110627",219
"66090","228214",46
"44127","93093",2490
"66052","45770",367
"66161","115959",1284
"66057","145783",467
"66078","79393",168
"66073","154299",155
"66051","226854",247
"66013","11886",109
"66086","140759",19
"66217","8156",1903
"66207","110081",661
"66134","171939",683
"66084","61360",1183
"66214","171935",968
"66022","200720",66
"66226","70261",1177
"66015","80849",1257
"66177","61608",1301
"66026","61607",1205
"66114","106998",1734
"66129","171967",1245
"66133","25902",3153
"66094","214467",2297
"66065","114146",8450
"2B193","160231",527
"2B329","52022",107
"46099","176402",153
"2B137","215816",25
"2B338","216111",46
"2B291","33497",40
"2B202","216179",29
